MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
115, 545, 636, 0,
112, 200, 211, 2500,
89, 129, 135, 5000,
58, 90, 96, 7500,
56, 72, 75, 10000,
54, 58, 60, 12500,
45, 48, 50, 15000,
32, 41, 42, 17500,
35, 36, 38, 20000,
29, 31, 33, 22500,
27, 28, 30, 25000,
20, 24, 26, 27500,
18, 22, 23, 30000,
