MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
120, 534, 618, 0,
95, 194, 207, 2500,
83, 126, 132, 5000,
57, 91, 94, 7500,
57, 70, 73, 10000,
41, 57, 59, 12500,
40, 47, 49, 15000,
32, 40, 42, 17500,
30, 35, 37, 20000,
28, 31, 32, 22500,
28, 28, 29, 25000,
