MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
108, 535, 620, 0,
111, 193, 207, 2500,
19, 120, 131, 5000,
55, 91, 94, 7500,
50, 70, 73, 10000,
36, 57, 59, 12500,
46, 47, 49, 15000,
32, 40, 42, 17500,
35, 35, 37, 20000,
27, 31, 32, 22500,
24, 28, 29, 25000,
