MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
99, 521, 597, 0,
85, 191, 203, 2500,
68, 124, 130, 5000,
66, 90, 93, 7500,
17, 70, 73, 10000,
53, 56, 58, 12500,
46, 47, 49, 15000,
36, 40, 42, 17500,
35, 35, 36, 20000,
31, 31, 32, 22500,
23, 28, 29, 25000,
