MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
114, 546, 626, 0,
113, 200, 211, 2500,
89, 129, 136, 5000,
69, 92, 96, 7500,
57, 72, 75, 10000,
55, 58, 60, 12500,
46, 48, 50, 15000,
36, 41, 42, 17500,
36, 36, 38, 20000,
29, 31, 33, 22500,
28, 28, 30, 25000,
20, 24, 25, 27500,
19, 22, 23, 30000,
