MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
189, 546, 632, 0,
116, 199, 211, 2500,
88, 128, 135, 5000,
72, 92, 95, 7500,
56, 72, 75, 10000,
49, 58, 60, 12500,
42, 48, 50, 15000,
39, 41, 42, 17500,
33, 36, 38, 20000,
31, 31, 33, 22500,
28, 28, 30, 25000,
20, 24, 26, 27500,
18, 22, 24, 30000,
