MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
110, 529, 621, 0,
86, 192, 205, 2500,
67, 125, 131, 5000,
64, 90, 94, 7500,
47, 70, 74, 10000,
41, 56, 59, 12500,
46, 47, 49, 15000,
34, 40, 42, 17500,
35, 35, 36, 20000,
28, 31, 32, 22500,
28, 28, 29, 25000,
