MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
188, 545, 631, 0,
75, 98, 102, 2500,
47, 56, 58, 5000,
34, 38, 40, 7500,
25, 29, 30, 10000,
23, 23, 24, 12500,
