MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
131, 547, 631, 0,
75, 99, 103, 2500,
48, 56, 58, 5000,
35, 39, 40, 7500,
29, 29, 31, 10000,
23, 23, 24, 12500,
