MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
22, 537, 619, 0,
105, 195, 207, 2500,
85, 125, 131, 5000,
56, 91, 94, 7500,
56, 71, 74, 10000,
41, 57, 59, 12500,
39, 46, 49, 15000,
35, 40, 42, 17500,
27, 34, 36, 20000,
25, 30, 32, 22500,
28, 28, 29, 25000,
