MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
126, 548, 632, 0,
71, 98, 104, 2500,
46, 55, 58, 5000,
34, 38, 39, 7500,
26, 29, 30, 10000,
23, 23, 24, 12500,
