MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
110, 544, 624, 0,
115, 200, 214, 2500,
89, 129, 134, 5000,
69, 92, 96, 7500,
56, 72, 75, 10000,
48, 58, 61, 12500,
45, 48, 50, 15000,
36, 41, 42, 17500,
34, 36, 37, 20000,
30, 31, 32, 22500,
28, 28, 29, 25000,
20, 24, 25, 27500,
19, 22, 23, 30000,
