MIN_FPS, AVG_FPS, MAX_FPS, CUBES,
119, 540, 633, 0,
76, 100, 104, 2500,
46, 57, 59, 5000,
34, 39, 40, 7500,
26, 29, 31, 10000,
24, 23, 24, 12500,
